DateTime,Severity,Message,Source
"July 08, 2024 02:59:00 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 02:59:00 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 02:59:00 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 03:32:08 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 03:32:08 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 03:32:08 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 03:32:08 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 03:32:08 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 03:32:08 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 03:32:08 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 03:32:08 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 03:32:14 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 03:32:17 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 03:32:18 PM UTC",Error,[-10723] PINET: No Connection.,OSIsoft-PIDataServices
"July 08, 2024 03:32:19 PM UTC",Error,[-10723] PINET: No Connection.,OSIsoft-PIDataServices
"July 08, 2024 03:32:58 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 03:32:58 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 03:32:58 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 03:32:58 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 03:32:58 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
